STRD_YYMM,STRD_DATE,WK_CD,TIMC_CD,MER_SIDO_CD,MER_CCG_CD,MER_ADNG_CD,BUZ_LCLS_NM,BUZ_MCLS_NM,BUZ_SCLS_NM,CST_SIDO_CD,CST_CCG_CD,CST_ADNG_CD,SEX_CD,AGE_CD,HOSH_TYP_CD,INCM_NR_CD,AMT,CNT
202308,20230824,1,2,31,13,67827639,서비스업,기타,기타,41,03,46164956,1,40,2,9,204000,2
202301,20230115,2,3,41,02,29958839,요식업,일식,기타,46,12,50992980,2,30,9,2,31400,4
202304,20230408,2,1,31,12,87226013,서비스업,기타,기타,27,22,67827639,2,40,1,5,167200,2
202312,20231208,1,3,29,07,96102526,교육업,기타,기타,45,22,12981053,2,40,2,3,411000,2
202305,20230527,2,2,47,22,11668733,소매업,기타,기타,50,16,12981053,1,20,3,4,53800,2
202305,20230501,1,1,26,08,56306998,서비스업,기타,기타,27,15,96102526,2,40,4,3,222400,2
202303,20230317,1,2,50,15,99529224,요식업,한식,고기집,36,04,73140808,1,40,3,3,47800,2
202308,20230815,1,3,48,15,04265800,의료업,기타,기타,36,21,03999316,2,40,3,2,276600,2
202305,20230527,2,2,27,05,13756670,소매업,기타,기타,36,13,13718432,1,30,2,3,75800,2
202302,20230201,1,4,11,25,21429111,소매업,기타,기타,45,16,85822413,2,30,2,5,174000,4
202310,20231003,1,2,46,16,14942604,의료업,기타,기타,45,11,28898924,2,30,1,3,298800,2
202311,20231115,1,3,11,03,20868106,의료업,기타,기타,46,05,73140808,1,30,2,3,215200,2
202307,20230714,1,3,48,01,12981053,서비스업,기타,기타,26,12,79254564,2,50,3,4,249200,6
202304,20230413,1,2,48,22,18728464,요식업,카페,기타,31,15,13718432,1,30,3,9,35400,4
202303,20230325,2,4,45,13,12448137,서비스업,기타,기타,31,03,93702684,2,40,1,4,212400,4
202311,20231104,2,2,46,22,03561598,요식업,카페,기타,27,17,20868106,1,50,4,2,20800,6
202311,20231122,1,1,50,21,03999316,교육업,기타,기타,48,15,87226013,2,40,2,2,267000,6
202305,20230523,1,3,45,11,14942604,교육업,기타,기타,48,11,99410742,2,30,1,2,419600,2
202305,20230522,1,1,46,16,00872249,의료업,기타,기타,36,23,56306998,2,40,4,1,359000,2
202312,20231221,1,2,50,12,87226013,소매업,기타,기타,43,12,13718432,1,30,1,4,106800,2
202310,20231002,1,3,41,24,93702684,소매업,기타,기타,50,20,12575563,2,50,1,3,95200,2
202312,20231229,1,1,26,18,12575563,의료업,기타,기타,29,21,48181397,2,50,3,3,275800,2
202304,20230405,1,1,27,13,29587040,요식업,일식,기타,27,19,37295261,2,20,4,5,30400,2
202305,20230508,1,3,36,25,79089902,요식업,카페,기타,45,15,94130245,1,40,2,3,45600,2
202302,20230220,1,3,30,08,99410742,소매업,기타,기타,27,06,85822413,1,40,2,1,81400,2
202305,20230525,1,4,31,14,18728464,교육업,기타,기타,36,21,13756670,2,50,1,2,505600,2
202310,20231019,1,2,42,23,26687538,서비스업,기타,기타,41,17,37338125,2,20,1,3,220600,2
202305,20230509,1,4,11,25,45176956,요식업,한식,분식,41,19,03356887,2,20,3,3,24600,2
202310,20231027,1,2,46,11,31227217,교육업,기타,기타,28,06,67827639,1,40,3,3,432400,4
202301,20230119,1,2,28,25,26687538,교육업,기타,기타,50,01,28898924,2,40,1,3,361400,2
202309,20230913,1,2,29,10,94130245,교육업,기타,기타,48,04,14942604,2,40,1,2,332200,2
202310,20231010,1,4,28,15,18728464,교육업,기타,기타,29,16,12448137,1,50,2,3,461000,2
202308,20230822,1,1,50,24,98847494,의료업,기타,기타,27,09,46164956,2,30,5,3,382400,4
202305,20230525,1,2,48,12,67827639,서비스업,기타,기타,45,15,31227217,2,60,1,3,255800,4
202307,20230730,2,3,45,13,28898924,요식업,일식,기타,29,16,03356887,1,60,2,2,43200,4
202302,20230221,1,3,46,21,13756670,의료업,기타,기타,27,16,04265800,1,40,3,5,275200,4
202310,20231001,2,3,26,20,36913811,교육업,기타,기타,36,21,45176956,2,60,4,3,433000,2
202311,20231121,1,3,11,02,31227217,요식업,양식,기타,26,10,80801587,1,20,3,3,79400,4
202303,20230329,1,3,36,16,93702684,소매업,기타,기타,29,08,73140808,2,40,3,5,80800,2
202305,20230528,2,2,44,19,29345093,의료업,기타,기타,46,23,04265800,1,30,9,5,285000,2
202307,20230715,2,4,42,01,28898924,의료업,기타,기타,45,09,85822413,2,40,4,1,211400,2
202309,20230912,1,2,31,20,04265800,서비스업,기타,기타,29,21,29958839,2,40,2,3,128200,2
202303,20230309,1,3,30,07,98847494,요식업,일식,기타,44,17,60291818,2,50,1,4,76200,2
202306,20230601,1,4,29,25,79254564,서비스업,기타,기타,45,18,03561598,1,30,1,2,281200,2
202312,20231211,1,1,36,16,14942604,서비스업,기타,기타,43,20,79254564,2,40,2,4,195600,2
202303,20230301,1,2,48,04,29958839,소매업,기타,기타,36,18,98847494,1,30,5,4,140000,2
202310,20231028,2,3,46,09,03356887,소매업,기타,기타,44,07,94130245,1,30,2,9,114400,2
202311,20231127,1,2,28,15,32868829,서비스업,기타,기타,31,21,37295261,2,20,4,2,161200,2
202310,20231017,1,3,36,11,46164956,소매업,기타,기타,29,20,85822413,1,60,9,3,114400,4
202302,20230226,2,2,36,19,31227217,요식업,중식,기타,11,06,04265800,1,50,3,4,90600,2
202307,20230705,1,2,26,24,28898924,의료업,기타,기타,50,10,73140808,2,20,9,4,297000,2
202302,20230225,2,3,43,20,13756670,교육업,기타,기타,27,05,03999316,2,40,4,3,556400,2
202305,20230531,1,3,28,21,20868106,교육업,기타,기타,31,14,94130245,2,30,4,3,138000,4
202306,20230610,2,2,29,22,56306998,교육업,기타,기타,27,03,32868829,1,20,4,4,482000,2
202310,20231028,2,2,46,24,99529224,의료업,기타,기타,42,20,29345093,1,40,1,4,306800,2
202302,20230225,2,3,36,14,00872249,서비스업,기타,기타,11,20,28898924,2,30,1,4,182000,2
202306,20230623,1,3,45,03,13756670,서비스업,기타,기타,11,03,12981053,2,30,2,2,205400,2
202306,20230616,1,1,26,22,32868829,의료업,기타,기타,41,15,28898924,1,40,2,2,140800,2
202306,20230626,1,3,48,17,28898924,교육업,기타,기타,42,02,79254564,1,40,1,3,378000,2
202303,20230312,2,1,48,24,87226013,서비스업,기타,기타,30,05,75329038,2,30,3,4,221400,2
202307,20230723,2,2,27,11,21429111,요식업,양식,기타,46,19,26687538,2,30,1,1,89400,2
202311,20231113,1,2,28,08,87226013,교육업,기타,기타,45,17,32868829,1,30,2,3,348000,2
202309,20230919,1,4,44,12,50992980,요식업,카페,기타,29,08,29958839,1,20,3,4,43800,2
202304,20230401,2,3,43,21,31227217,교육업,기타,기타,29,15,36913811,1,40,4,3,349800,2
202302,20230207,1,1,44,10,36913811,서비스업,기타,기타,27,20,56722345,2,40,3,4,254800,4
202308,20230819,2,3,50,05,99529224,의료업,기타,기타,47,04,67827639,2,20,3,1,326200,4
202308,20230813,2,2,42,13,96102526,의료업,기타,기타,43,22,56722345,1,40,2,3,257600,2
202307,20230717,1,2,29,12,29345093,서비스업,기타,기타,45,05,56722345,2,20,3,4,230600,2
202303,20230307,1,2,11,12,29345093,의료업,기타,기타,30,07,67827639,2,40,1,2,307600,2
202302,20230221,1,3,29,20,75329038,의료업,기타,기타,29,06,99410742,2,50,4,2,377400,2
202307,20230730,2,3,47,08,37338125,서비스업,기타,기타,36,10,56306998,2,20,3,3,157800,2
202305,20230525,1,3,29,09,99529224,교육업,기타,기타,48,12,00872249,2,50,3,2,367200,2
202303,20230324,1,3,27,08,94130245,서비스업,기타,기타,44,01,96102526,1,40,1,9,176400,2
202301,20230115,2,3,29,02,12575563,서비스업,기타,기타,48,23,98847494,2,40,3,5,112000,2
202304,20230421,1,3,36,10,18728464,소매업,기타,기타,26,08,96102526,2,40,1,4,111800,2
202310,20231002,1,3,42,14,85822413,요식업,카페,기타,44,08,21429111,1,40,1,9,65200,2
202309,20230927,1,3,26,21,75329038,의료업,기타,기타,44,09,12981053,1,50,2,4,300400,2
202310,20231025,1,2,43,21,99410742,서비스업,기타,기타,47,23,56306998,2,50,1,4,185800,2
202305,20230531,1,3,43,10,60291818,소매업,기타,기타,45,18,56306998,1,50,1,3,43200,4
202312,20231202,2,3,46,13,12981053,서비스업,기타,기타,47,13,67827639,2,40,2,5,174600,2
202302,20230212,2,3,30,18,12575563,교육업,기타,기타,43,04,32868829,1,30,2,4,365600,2
202308,20230816,1,3,44,20,87226013,서비스업,기타,기타,41,21,99529224,1,40,2,4,151800,2
202301,20230116,1,1,36,25,20868106,소매업,기타,기타,44,12,75329038,2,20,1,3,93400,2
202308,20230816,1,2,45,11,20868106,요식업,카페,기타,41,08,18728464,1,20,3,5,68000,2
202305,20230514,2,3,48,07,18728464,교육업,기타,기타,29,03,94130245,1,50,9,4,588600,6
202306,20230613,1,3,30,23,12448137,서비스업,기타,기타,30,12,60291818,1,60,4,2,210400,2
202307,20230704,1,3,29,20,32868829,의료업,기타,기타,27,10,26687538,2,50,3,4,320600,4
202302,20230207,1,2,50,12,98847494,소매업,기타,기타,30,25,98847494,1,60,1,2,97000,2
202303,20230326,2,2,50,10,32868829,소매업,기타,기타,41,07,37295261,2,30,3,4,23200,2
202311,20231125,2,3,43,19,03356887,소매업,기타,기타,11,03,03356887,2,50,1,2,98800,2
202311,20231113,1,3,42,16,56629389,요식업,양식,기타,45,10,73140808,1,20,2,3,61200,2
202311,20231107,1,3,44,13,98847494,소매업,기타,기타,44,17,00872249,1,30,1,3,198400,2
202301,20230126,1,2,30,11,21429111,서비스업,기타,기타,43,07,48181397,1,60,2,5,188400,2
202302,20230216,1,2,44,02,99529224,교육업,기타,기타,42,16,56722345,2,40,2,3,430000,4
202308,20230809,1,3,44,02,26687538,소매업,기타,기타,26,19,00872249,1,40,1,3,98600,4
202305,20230524,1,4,45,12,67827639,의료업,기타,기타,44,25,13756670,1,40,3,1,206400,2
202306,20230620,1,3,50,05,31227217,교육업,기타,기타,43,06,26687538,2,50,1,3,514200,4
202309,20230930,2,3,44,11,45176956,교육업,기타,기타,28,14,93702684,1,50,5,4,475000,2
202305,20230516,1,3,30,17,37295261,의료업,기타,기타,45,05,45176956,1,40,4,2,363200,2
202308,20230803,1,2,48,24,50992980,소매업,기타,기타,26,23,98847494,2,40,9,3,63600,2
202303,20230330,1,3,41,20,56306998,교육업,기타,기타,31,08,03999316,2,30,9,2,540200,2
202304,20230417,1,2,41,10,18728464,교육업,기타,기타,45,13,80801587,2,50,1,2,259800,4
202306,20230627,1,2,41,18,13718432,교육업,기타,기타,41,05,29958839,2,40,1,4,458600,2
202311,20231123,1,2,48,04,45176956,소매업,기타,기타,29,01,00872249,2,20,3,5,187600,2
202311,20231130,1,2,26,25,32868829,소매업,기타,기타,36,18,12981053,2,60,5,2,60200,4
202304,20230401,2,1,42,02,85822413,요식업,양식,기타,42,19,56722345,1,60,1,9,48600,2
202309,20230910,2,1,28,11,90825068,소매업,기타,기타,47,21,04265800,2,20,2,2,103800,2
202304,20230409,2,2,27,13,28898924,소매업,기타,기타,28,06,98847494,1,60,1,3,79800,2
202305,20230517,1,2,44,23,56629389,서비스업,기타,기타,26,22,18728464,1,20,3,5,106800,4
202306,20230609,1,3,36,05,56306998,요식업,일식,기타,29,15,12981053,2,30,4,5,61200,4
202312,20231207,1,2,50,23,03561598,소매업,기타,기타,27,19,18728464,1,40,3,3,57400,2
202306,20230617,2,3,48,03,60291818,의료업,기타,기타,47,02,73140808,1,30,3,3,337800,2
202306,20230607,1,3,31,19,36913811,요식업,양식,기타,26,14,80801587,2,40,1,5,41600,6
202308,20230830,1,1,29,25,20868106,요식업,일식,기타,46,12,75329038,1,60,2,1,90800,6
202310,20231004,1,1,45,17,98847494,소매업,기타,기타,36,01,48181397,1,30,3,3,68600,2
202304,20230428,1,1,31,24,48181397,소매업,기타,기타,28,02,28898924,1,50,5,1,87000,2
202302,20230221,1,3,26,08,12981053,의료업,기타,기타,26,13,94130245,1,30,5,1,365000,2
202305,20230529,1,2,29,22,79089902,소매업,기타,기타,36,14,29345093,1,40,3,4,50600,2
202312,20231214,1,4,45,17,31227217,교육업,기타,기타,46,14,13756670,1,20,3,2,422600,2
202312,20231229,1,3,46,18,79089902,소매업,기타,기타,29,13,56629389,1,30,1,3,152200,2
202310,20231002,1,2,26,03,73197858,소매업,기타,기타,31,16,11668733,2,30,9,1,35600,6
202303,20230302,1,2,36,18,31227217,교육업,기타,기타,42,13,73140808,2,30,1,3,418400,2
202302,20230220,1,2,46,02,21429111,교육업,기타,기타,36,24,13756670,1,40,3,4,425800,2
202304,20230411,1,3,36,16,00872249,서비스업,기타,기타,43,09,48181397,2,60,3,3,246800,2
202306,20230630,1,1,26,17,03356887,소매업,기타,기타,27,22,99529224,2,30,4,2,50400,4
202301,20230105,1,1,48,22,29587040,소매업,기타,기타,11,01,37338125,2,20,3,2,47000,6
202301,20230109,1,1,28,17,13756670,의료업,기타,기타,36,07,45667652,2,50,1,3,341600,2
202307,20230727,1,2,27,21,20868106,교육업,기타,기타,26,03,26687538,1,40,1,1,429600,2
202309,20230913,1,3,26,08,11668733,교육업,기타,기타,48,09,03356887,2,40,1,3,425000,2
202304,20230402,2,3,45,03,29345093,서비스업,기타,기타,30,19,56629389,2,50,3,3,220600,2
202303,20230313,1,1,46,08,36913811,요식업,카페,기타,43,20,46164956,2,40,9,3,46200,2
202308,20230819,2,3,45,14,99410742,교육업,기타,기타,45,03,46164956,2,50,4,1,423200,2
202312,20231231,2,2,27,01,29345093,소매업,기타,기타,47,12,48181397,1,20,1,3,111600,2
202307,20230728,1,2,27,20,56722345,요식업,한식,한정식,43,13,85822413,1,30,1,5,45600,6
202305,20230505,1,1,41,10,03999316,의료업,기타,기타,48,05,36913811,1,30,1,4,449200,2
202305,20230507,2,1,42,01,26687538,교육업,기타,기타,43,20,75329038,2,30,2,4,447200,4
202311,20231101,1,3,31,16,31227217,소매업,기타,기타,30,13,31227217,1,40,2,3,52200,2
202307,20230712,1,1,31,19,37338125,서비스업,기타,기타,30,22,46164956,2,60,2,4,239200,2
202305,20230530,1,1,42,08,04265800,요식업,양식,기타,29,23,87226013,2,20,9,3,40400,2
202309,20230917,2,3,27,04,46164956,교육업,기타,기타,36,22,28898924,1,40,1,9,478600,2
202307,20230724,1,1,41,08,60291818,서비스업,기타,기타,50,18,93702684,2,30,2,3,269400,2
202312,20231220,1,4,48,04,12575563,의료업,기타,기타,46,03,18728464,2,50,2,3,234200,4
202309,20230924,2,1,47,11,36913811,교육업,기타,기타,42,02,12448137,1,50,3,4,496200,2
202305,20230505,1,2,46,15,79254564,의료업,기타,기타,45,21,99410742,1,40,2,4,333000,4
202308,20230819,2,1,31,07,03999316,의료업,기타,기타,27,19,29958839,2,40,2,2,365600,2
202312,20231210,2,3,28,12,80801587,교육업,기타,기타,47,20,99410742,2,50,1,4,589600,2
202303,20230310,1,2,30,12,13718432,서비스업,기타,기타,29,17,75329038,1,20,2,2,185200,2
202312,20231222,1,2,30,11,94130245,소매업,기타,기타,26,12,85822413,2,20,2,3,69800,2
202307,20230729,2,2,27,19,14942604,교육업,기타,기타,36,10,03356887,1,40,1,3,311000,4
202309,20230911,1,2,44,18,48181397,의료업,기타,기타,26,25,50992980,1,30,2,4,234600,2
202305,20230507,2,2,27,15,18728464,서비스업,기타,기타,36,07,12981053,2,30,4,4,195200,2
202303,20230313,1,3,41,20,37338125,소매업,기타,기타,30,11,12448137,1,40,9,3,113600,6
202302,20230218,2,4,29,23,98847494,소매업,기타,기타,36,05,12448137,1,30,4,3,111000,2
202311,20231120,1,2,27,13,60291818,서비스업,기타,기타,41,23,03561598,1,40,3,5,249600,4
202302,20230217,1,3,45,07,87226013,교육업,기타,기타,31,16,03999316,1,30,3,2,401200,4
202306,20230625,2,3,47,01,18728464,요식업,한식,한정식,30,15,73140808,1,60,1,4,89000,2
202311,20231129,1,1,44,09,32868829,서비스업,기타,기타,44,22,20868106,1,30,2,4,184000,2
202312,20231202,2,2,27,05,93702684,요식업,한식,한정식,36,17,45176956,1,20,2,2,114400,4
202312,20231222,1,2,27,24,29958839,소매업,기타,기타,28,11,03561598,2,20,4,4,125000,2
202312,20231213,1,3,30,15,80801587,소매업,기타,기타,31,21,12981053,1,30,3,5,65600,2
202302,20230221,1,2,46,11,98847494,소매업,기타,기타,36,09,20868106,1,40,3,4,57000,4
202312,20231220,1,2,50,07,12981053,요식업,일식,기타,45,10,20868106,1,50,9,3,69600,2
202309,20230913,1,4,43,05,75329038,의료업,기타,기타,46,12,37338125,2,50,9,4,282000,2
202302,20230204,2,1,26,13,60291818,요식업,일식,기타,42,21,12448137,2,30,4,1,74200,2
202311,20231112,2,2,50,07,13756670,소매업,기타,기타,43,13,93702684,2,50,3,1,118800,2
202305,20230503,1,4,28,15,45667652,요식업,중식,기타,26,10,28898924,2,50,1,4,58400,4
202303,20230325,2,1,29,24,46164956,교육업,기타,기타,41,24,18728464,2,20,4,2,315200,2
202312,20231231,2,2,44,02,29587040,의료업,기타,기타,30,12,90825068,1,20,3,4,178800,2
202309,20230918,1,2,48,12,75329038,요식업,한식,한정식,29,06,03356887,2,60,4,3,51000,2
202308,20230802,1,3,28,17,45176956,서비스업,기타,기타,26,06,79254564,2,60,9,1,251200,2
202305,20230525,1,3,11,12,73197858,서비스업,기타,기타,42,19,29345093,2,30,2,9,212800,6
202304,20230411,1,1,46,01,79254564,의료업,기타,기타,44,21,13718432,2,60,1,4,200200,4
202306,20230607,1,2,26,05,12448137,요식업,중식,기타,41,03,03356887,2,50,3,4,63400,2
202302,20230213,1,3,45,03,93702684,의료업,기타,기타,26,14,28898924,2,30,1,3,330800,4
202312,20231225,1,2,27,07,98847494,서비스업,기타,기타,28,05,29958839,1,40,2,3,146800,6
202304,20230417,1,2,28,03,90825068,교육업,기타,기타,42,23,13718432,2,30,5,2,415200,4
202307,20230702,2,2,30,01,26687538,교육업,기타,기타,47,18,12981053,2,20,1,4,405800,2
202302,20230201,1,3,44,22,37295261,소매업,기타,기타,27,19,93702684,1,50,1,1,54200,6
202308,20230816,1,1,47,02,90825068,소매업,기타,기타,46,24,26687538,2,30,2,3,114200,6
202305,20230521,2,1,36,21,12575563,서비스업,기타,기타,48,14,00872249,1,20,2,3,233600,2
202309,20230927,1,3,44,16,37338125,소매업,기타,기타,48,12,21429111,2,30,1,3,143200,2
202305,20230524,1,3,36,06,29958839,요식업,양식,기타,36,22,56629389,1,50,5,1,81000,6
202304,20230423,2,4,30,06,56629389,의료업,기타,기타,43,24,13718432,1,40,4,3,189600,2
202303,20230314,1,2,30,16,03356887,의료업,기타,기타,27,02,79254564,2,20,2,3,224800,2
202303,20230308,1,1,29,19,12448137,서비스업,기타,기타,29,25,18728464,2,50,9,3,230800,6
202307,20230722,2,2,29,06,50992980,의료업,기타,기타,46,21,29587040,2,20,9,4,341000,6
202307,20230702,2,2,42,05,99410742,소매업,기타,기타,11,23,21429111,1,60,9,1,120600,2
202311,20231110,1,1,27,08,80801587,소매업,기타,기타,43,06,37295261,2,20,4,4,254000,4
202308,20230817,1,2,27,12,04265800,요식업,일식,기타,28,24,85822413,1,30,2,2,71400,2
202307,20230713,1,3,36,06,94130245,서비스업,기타,기타,27,02,12575563,1,30,1,3,268000,4
202303,20230324,1,2,48,23,14942604,요식업,카페,기타,46,21,90825068,2,30,1,3,79000,6
202307,20230729,2,2,28,02,26687538,의료업,기타,기타,48,05,99529224,1,30,1,4,352000,2
202304,20230413,1,1,42,03,56306998,요식업,한식,분식,28,10,26687538,1,50,1,4,53600,2
202307,20230709,2,2,41,15,73140808,교육업,기타,기타,41,08,03999316,2,20,3,1,475800,2
202310,20231005,1,3,50,14,37338125,교육업,기타,기타,48,19,56629389,1,20,5,4,322600,2
202309,20230922,1,4,47,06,90825068,의료업,기타,기타,31,07,98847494,1,20,3,2,281000,4
202303,20230317,1,4,27,03,75329038,의료업,기타,기타,45,18,31227217,2,40,5,1,261000,4
202310,20231028,2,2,29,19,93702684,의료업,기타,기타,28,04,21429111,2,50,5,5,306400,4
202305,20230516,1,1,41,13,13756670,교육업,기타,기타,45,02,26687538,2,30,1,4,631400,6
202307,20230710,1,2,48,23,45176956,요식업,일식,기타,28,08,98847494,1,50,4,3,22600,4
202311,20231106,1,2,46,24,29587040,요식업,중식,기타,50,12,99529224,2,20,2,3,73600,2
202309,20230926,1,1,31,02,56629389,의료업,기타,기타,26,15,99529224,2,50,1,4,170800,2
202311,20231122,1,2,47,06,56306998,요식업,한식,분식,44,12,90825068,2,30,4,1,50400,2
202301,20230126,1,3,31,09,20868106,소매업,기타,기타,46,17,14942604,2,60,3,3,143400,2
202303,20230330,1,2,42,23,12448137,의료업,기타,기타,41,14,75329038,2,40,1,3,305000,2
202311,20231116,1,2,44,18,20868106,교육업,기타,기타,42,10,45176956,1,20,9,4,292200,4
202305,20230514,2,2,36,02,56722345,서비스업,기타,기타,45,22,31227217,2,50,3,9,157000,2
202308,20230803,1,3,31,11,50992980,교육업,기타,기타,36,22,37338125,2,40,5,3,467800,2
202303,20230329,1,1,29,24,04265800,의료업,기타,기타,30,22,67827639,2,30,1,5,241400,2
202306,20230619,1,2,28,16,99529224,서비스업,기타,기타,27,16,73197858,2,50,2,2,212800,2
202303,20230319,2,2,47,05,31227217,소매업,기타,기타,30,25,32868829,2,40,1,4,101800,2
202305,20230521,2,2,27,05,45667652,소매업,기타,기타,46,21,87226013,1,60,2,1,73800,2
202307,20230711,1,1,11,21,50992980,요식업,일식,기타,36,08,13718432,2,30,1,3,102800,2
202302,20230203,1,2,50,20,79089902,요식업,일식,기타,43,14,45176956,2,30,5,3,72600,2
202307,20230726,1,3,29,07,50992980,요식업,중식,기타,11,19,60291818,1,30,3,1,19400,4
202305,20230511,1,3,11,02,13718432,의료업,기타,기타,28,14,94130245,1,40,2,2,314800,2
202311,20231119,2,3,50,09,45667652,요식업,일식,기타,29,14,29958839,2,40,1,4,46600,2
202311,20231108,1,2,46,10,90825068,소매업,기타,기타,26,18,29587040,2,40,2,2,134000,2
202302,20230215,1,1,27,25,60291818,요식업,카페,기타,27,24,50992980,1,30,1,9,44000,2
202308,20230826,2,3,42,12,45176956,요식업,한식,분식,43,14,12981053,1,50,5,1,57600,2
202311,20231128,1,3,41,24,32868829,소매업,기타,기타,44,11,99410742,1,30,2,4,120000,2
202309,20230902,2,1,26,06,29958839,교육업,기타,기타,46,19,56306998,2,40,1,3,486400,2
202301,20230115,2,1,46,15,03356887,소매업,기타,기타,27,09,20868106,1,50,3,4,51800,2
202310,20231017,1,2,36,16,80801587,소매업,기타,기타,45,05,00872249,2,40,1,5,86600,2
202308,20230829,1,3,43,08,67827639,교육업,기타,기타,41,02,60291818,1,40,2,2,352400,2
202310,20231021,2,2,28,16,12981053,교육업,기타,기타,11,04,26687538,1,40,1,1,334600,2
202311,20231113,1,4,44,02,79254564,서비스업,기타,기타,47,11,00872249,2,40,4,3,305800,2
202302,20230219,2,2,42,18,79089902,소매업,기타,기타,44,23,29958839,1,20,1,4,116000,4
202302,20230224,1,1,45,07,73140808,서비스업,기타,기타,31,23,67827639,1,30,5,4,124200,2
202308,20230819,2,1,26,18,87226013,교육업,기타,기타,48,17,46164956,2,20,3,4,491600,2
202307,20230718,1,2,36,09,26687538,의료업,기타,기타,43,10,94130245,2,20,3,5,469600,2
202312,20231226,1,2,42,22,80801587,의료업,기타,기타,29,23,20868106,2,20,3,4,382400,4
202306,20230630,1,3,42,14,85822413,의료업,기타,기타,50,04,14942604,1,20,1,2,178400,4
202305,20230527,2,3,42,07,48181397,서비스업,기타,기타,26,12,94130245,1,50,4,5,170800,4
202310,20231015,2,3,26,13,75329038,교육업,기타,기타,46,22,31227217,2,20,4,2,526600,4
202308,20230815,1,3,31,10,94130245,소매업,기타,기타,30,22,36913811,1,20,3,3,71600,2
202310,20231012,1,3,41,01,67827639,서비스업,기타,기타,47,23,13756670,1,60,3,4,226600,2
202312,20231205,1,1,43,17,79254564,서비스업,기타,기타,30,17,36913811,2,20,3,3,246400,2
202304,20230420,1,2,50,16,00872249,서비스업,기타,기타,11,04,28898924,1,30,3,5,144200,2
202301,20230121,2,2,42,01,79089902,서비스업,기타,기타,44,17,60291818,1,20,5,2,196400,2
202302,20230219,2,2,31,22,87226013,소매업,기타,기타,28,07,37338125,2,50,4,3,2000,4
202302,20230206,1,3,26,03,36913811,소매업,기타,기타,26,06,04265800,2,40,1,2,59000,2
202311,20231119,2,1,28,18,85822413,교육업,기타,기타,27,25,12981053,2,50,1,5,374600,2
202312,20231218,1,3,47,13,26687538,서비스업,기타,기타,11,16,90825068,2,20,2,4,125000,2
202311,20231121,1,4,11,18,00872249,소매업,기타,기타,29,04,03356887,1,40,3,5,165200,2
202306,20230626,1,1,36,20,04265800,소매업,기타,기타,31,04,99410742,2,40,1,4,42600,6
202310,20231009,1,3,41,04,73197858,교육업,기타,기타,48,11,80801587,1,40,1,4,355800,6
202306,20230612,1,3,42,23,93702684,교육업,기타,기타,29,19,21429111,1,30,2,1,413000,2
202304,20230424,1,1,43,16,73140808,교육업,기타,기타,47,12,46164956,1,40,1,4,544000,4
